"","v","num","s","s.u","u","gc_name"
"195","cg_",195,"(1,1.25]","(0.5,0.75]",0.3,"cg_195"
"196","cg_",196,"(1,1.25]","(0.75,1]",0.3,"cg_196"
"197","cg_",197,"(1,1.25]","(1,1.25]",0.3,"cg_197"
"198","cg_",198,"(1,1.25]","(1.25,1.5]",0.3,"cg_198"
"199","cg_",199,"(1,1.25]","(1.5,1.75]",0.3,"cg_199"
"200","cg_",200,"(1,1.25]","(1.75,2]",0.3,"cg_200"
"201","cg_",201,"(1,1.25]","(2,2.25]",0.3,"cg_201"
"202","cg_",202,"(1,1.25]","(2.25,2.5]",0.3,"cg_202"
"203","cg_",203,"(1,1.25]","(2.5,2.75]",0.3,"cg_203"
"204","cg_",204,"(1,1.25]","(2.75,3]",0.3,"cg_204"
"205","cg_",205,"(1.25,1.5]","[0,0.25]",0.3,"cg_205"
"206","cg_",206,"(1.25,1.5]","(0.25,0.5]",0.3,"cg_206"
"207","cg_",207,"(1.25,1.5]","(0.5,0.75]",0.3,"cg_207"
"208","cg_",208,"(1.25,1.5]","(0.75,1]",0.3,"cg_208"
"209","cg_",209,"(1.25,1.5]","(1,1.25]",0.3,"cg_209"
"210","cg_",210,"(1.25,1.5]","(1.25,1.5]",0.3,"cg_210"
"211","cg_",211,"(1.25,1.5]","(1.5,1.75]",0.3,"cg_211"
"212","cg_",212,"(1.25,1.5]","(1.75,2]",0.3,"cg_212"
"213","cg_",213,"(1.25,1.5]","(2,2.25]",0.3,"cg_213"
"214","cg_",214,"(1.25,1.5]","(2.25,2.5]",0.3,"cg_214"
"215","cg_",215,"(1.25,1.5]","(2.5,2.75]",0.3,"cg_215"
"216","cg_",216,"(1.25,1.5]","(2.75,3]",0.3,"cg_216"
"217","cg_",217,"(1.5,1.75]","[0,0.25]",0.3,"cg_217"
"218","cg_",218,"(1.5,1.75]","(0.25,0.5]",0.3,"cg_218"
"219","cg_",219,"(1.5,1.75]","(0.5,0.75]",0.3,"cg_219"
"220","cg_",220,"(1.5,1.75]","(0.75,1]",0.3,"cg_220"
"221","cg_",221,"(1.5,1.75]","(1,1.25]",0.3,"cg_221"
"222","cg_",222,"(1.5,1.75]","(1.25,1.5]",0.3,"cg_222"
"223","cg_",223,"(1.5,1.75]","(1.5,1.75]",0.3,"cg_223"
"224","cg_",224,"(1.5,1.75]","(1.75,2]",0.3,"cg_224"
"225","cg_",225,"(1.5,1.75]","(2,2.25]",0.3,"cg_225"
"226","cg_",226,"(1.5,1.75]","(2.25,2.5]",0.3,"cg_226"
"227","cg_",227,"(1.5,1.75]","(2.5,2.75]",0.3,"cg_227"
"228","cg_",228,"(1.5,1.75]","(2.75,3]",0.3,"cg_228"
"229","cg_",229,"(1.75,2]","[0,0.25]",0.3,"cg_229"
"230","cg_",230,"(1.75,2]","(0.25,0.5]",0.3,"cg_230"
"231","cg_",231,"(1.75,2]","(0.5,0.75]",0.3,"cg_231"
"232","cg_",232,"(1.75,2]","(0.75,1]",0.3,"cg_232"
"233","cg_",233,"(1.75,2]","(1,1.25]",0.3,"cg_233"
"234","cg_",234,"(1.75,2]","(1.25,1.5]",0.3,"cg_234"
"235","cg_",235,"(1.75,2]","(1.5,1.75]",0.3,"cg_235"
"236","cg_",236,"(1.75,2]","(1.75,2]",0.3,"cg_236"
"237","cg_",237,"(1.75,2]","(2,2.25]",0.3,"cg_237"
"238","cg_",238,"(1.75,2]","(2.25,2.5]",0.3,"cg_238"
"239","cg_",239,"(1.75,2]","(2.5,2.75]",0.3,"cg_239"
"240","cg_",240,"(1.75,2]","(2.75,3]",0.3,"cg_240"
"241","cg_",241,"(2,2.25]","[0,0.25]",0.3,"cg_241"
"242","cg_",242,"(2,2.25]","(0.25,0.5]",0.3,"cg_242"
"243","cg_",243,"(2,2.25]","(0.5,0.75]",0.3,"cg_243"
"244","cg_",244,"(2,2.25]","(0.75,1]",0.3,"cg_244"
"245","cg_",245,"(2,2.25]","(1,1.25]",0.3,"cg_245"
"246","cg_",246,"(2,2.25]","(1.25,1.5]",0.3,"cg_246"
"247","cg_",247,"(2,2.25]","(1.5,1.75]",0.3,"cg_247"
"248","cg_",248,"(2,2.25]","(1.75,2]",0.3,"cg_248"
"249","cg_",249,"(2,2.25]","(2,2.25]",0.3,"cg_249"
"250","cg_",250,"(2,2.25]","(2.25,2.5]",0.3,"cg_250"
"251","cg_",251,"(2,2.25]","(2.5,2.75]",0.3,"cg_251"
"252","cg_",252,"(2,2.25]","(2.75,3]",0.3,"cg_252"
"253","cg_",253,"(2.25,2.5]","[0,0.25]",0.3,"cg_253"
"254","cg_",254,"(2.25,2.5]","(0.25,0.5]",0.3,"cg_254"
"255","cg_",255,"(2.25,2.5]","(0.5,0.75]",0.3,"cg_255"
"256","cg_",256,"(2.25,2.5]","(0.75,1]",0.3,"cg_256"
"257","cg_",257,"(2.25,2.5]","(1,1.25]",0.3,"cg_257"
"258","cg_",258,"(2.25,2.5]","(1.25,1.5]",0.3,"cg_258"
"259","cg_",259,"(2.25,2.5]","(1.5,1.75]",0.3,"cg_259"
"260","cg_",260,"(2.25,2.5]","(1.75,2]",0.3,"cg_260"
"261","cg_",261,"(2.25,2.5]","(2,2.25]",0.3,"cg_261"
"262","cg_",262,"(2.25,2.5]","(2.25,2.5]",0.3,"cg_262"
"263","cg_",263,"(2.25,2.5]","(2.5,2.75]",0.3,"cg_263"
"264","cg_",264,"(2.25,2.5]","(2.75,3]",0.3,"cg_264"
"265","cg_",265,"(2.5,2.75]","[0,0.25]",0.3,"cg_265"
"266","cg_",266,"(2.5,2.75]","(0.25,0.5]",0.3,"cg_266"
"267","cg_",267,"(2.5,2.75]","(0.5,0.75]",0.3,"cg_267"
"268","cg_",268,"(2.5,2.75]","(0.75,1]",0.3,"cg_268"
"269","cg_",269,"(2.5,2.75]","(1,1.25]",0.3,"cg_269"
"270","cg_",270,"(2.5,2.75]","(1.25,1.5]",0.3,"cg_270"
"271","cg_",271,"(2.5,2.75]","(1.5,1.75]",0.3,"cg_271"
"272","cg_",272,"(2.5,2.75]","(1.75,2]",0.3,"cg_272"
"273","cg_",273,"(2.5,2.75]","(2,2.25]",0.3,"cg_273"
"274","cg_",274,"(2.5,2.75]","(2.25,2.5]",0.3,"cg_274"
"275","cg_",275,"(2.5,2.75]","(2.5,2.75]",0.3,"cg_275"
"276","cg_",276,"(2.5,2.75]","(2.75,3]",0.3,"cg_276"
"277","cg_",277,"(2.75,3]","[0,0.25]",0.3,"cg_277"
"278","cg_",278,"(2.75,3]","(0.25,0.5]",0.3,"cg_278"
"279","cg_",279,"(2.75,3]","(0.5,0.75]",0.3,"cg_279"
"280","cg_",280,"(2.75,3]","(0.75,1]",0.3,"cg_280"
"281","cg_",281,"(2.75,3]","(1,1.25]",0.3,"cg_281"
"282","cg_",282,"(2.75,3]","(1.25,1.5]",0.3,"cg_282"
"283","cg_",283,"(2.75,3]","(1.5,1.75]",0.3,"cg_283"
"284","cg_",284,"(2.75,3]","(1.75,2]",0.3,"cg_284"
"285","cg_",285,"(2.75,3]","(2,2.25]",0.3,"cg_285"
